Date,Close,Open,High,Low
14/08/2018,1.1344,1.141,1.1431,1.133
15/08/2018,1.1345,1.1344,1.1357,1.1299
16/08/2018,1.1377,1.1345,1.1411,1.1335
17/08/2018,1.1439,1.1377,1.1447,1.1365
20/08/2018,1.1481,1.1442,1.1486,1.1394
21/08/2018,1.1571,1.1482,1.1602,1.1479
22/08/2018,1.1597,1.157,1.1624,1.1551
23/08/2018,1.1539,1.1596,1.1601,1.153
24/08/2018,1.1623,1.154,1.1641,1.1533
27/08/2018,1.1678,1.1631,1.1694,1.1592
28/08/2018,1.1695,1.1678,1.1735,1.1662
29/08/2018,1.1708,1.1695,1.1712,1.1652
30/08/2018,1.1671,1.1707,1.172,1.1641
31/08/2018,1.1601,1.1671,1.1692,1.1585
3/9/2018,1.1624,1.1596,1.1629,1.1583
4/9/2018,1.1582,1.1623,1.1629,1.1528
5/9/2018,1.1629,1.1581,1.164,1.1542
6/9/2018,1.1622,1.1629,1.166,1.1603
7/9/2018,1.1553,1.1624,1.1651,1.155
10/9/2018,1.1594,1.156,1.1617,1.1526
11/9/2018,1.1607,1.1594,1.1645,1.1565
12/9/2018,1.1626,1.1604,1.1651,1.157
13/09/2018,1.169,1.1627,1.1703,1.1608
14/09/2018,1.163,1.169,1.1724,1.1619
17/09/2018,1.1683,1.1623,1.1699,1.1617
18/09/2018,1.1667,1.1684,1.1726,1.1651
19/09/2018,1.1673,1.1667,1.1716,1.1648
20/09/2018,1.1777,1.1671,1.1786,1.1665
21/09/2018,1.175,1.1776,1.1804,1.1731
24/09/2018,1.1748,1.1751,1.1817,1.1723
25/09/2018,1.1772,1.1748,1.1793,1.173
26/09/2018,1.174,1.1767,1.1799,1.1726
27/09/2018,1.1641,1.174,1.1759,1.1637
28/09/2018,1.1609,1.1641,1.1652,1.1567
1/10/2018,1.1578,1.1609,1.163,1.1563
2/10/2018,1.1548,1.1578,1.1582,1.1506
3/10/2018,1.1478,1.1548,1.1595,1.1465
4/10/2018,1.1515,1.1478,1.1543,1.1464
5/10/2018,1.1524,1.1513,1.155,1.1483
8/10/2018,1.1492,1.152,1.1536,1.1459
9/10/2018,1.149,1.1491,1.1504,1.143
10/10/2018,1.152,1.1491,1.1547,1.1479
11/10/2018,1.1594,1.1519,1.16,1.1517
12/10/2018,1.1563,1.1592,1.1611,1.1534
15/10/2018,1.1579,1.1559,1.1608,1.1537
16/10/2018,1.1575,1.158,1.1623,1.1564
17/10/2018,1.1501,1.1575,1.1585,1.1495
18/10/2018,1.1453,1.15,1.1528,1.1448
19/10/2018,1.1515,1.1451,1.1536,1.1433
22/10/2018,1.1465,1.1507,1.1552,1.1455
23/10/2018,1.1471,1.1466,1.1495,1.1438
24/10/2018,1.1392,1.147,1.1477,1.1378
25/10/2018,1.1376,1.1392,1.1434,1.1355
26/10/2018,1.1403,1.1376,1.1422,1.1334
29/10/2018,1.1373,1.1408,1.1418,1.1361
30/10/2018,1.1344,1.1372,1.1387,1.1338
31/10/2018,1.1312,1.1345,1.1363,1.1301
1/11/2018,1.1409,1.1311,1.1426,1.1306
2/11/2018,1.1387,1.1408,1.1458,1.1372
5/11/2018,1.1407,1.1391,1.1425,1.1356
6/11/2018,1.1427,1.1406,1.144,1.1389
7/11/2018,1.1426,1.1427,1.1502,1.1395
8/11/2018,1.1363,1.1425,1.1448,1.1352
